# SurveyHHCode,HHCode,TypeOfSegmentation,FullZeros,NodeStates,,,Node States,Cluster N,HH Amount,,,# SurveyHHCode,HHCode,TypeOfSegmentation,FullZeros,NodeStates
245,5,1,0,,,,,,,,,,,,,
246,5,1,0,,,,,,,,,,,,,
247,5,1,0,,,,,,,,,,,,,
248,5,1,0,,,,,,,,,,,,,
249,5,1,0,,,,,,,,,,,,,
250,5,1,0,,,,,,,,,,,,,
251,5,1,0,,,,,,,,,,,,,
252,5,1,0,,,,,,,,,,,,,
253,5,1,0,,,,,,,,,,,,,
254,5,1,0,,,,,,,,,,,,,
255,5,1,0,,,,,,,,,,,,,
256,5,1,0,,,,,,,,,,,,,
257,5,1,0,,,,,,,,,,,,,
258,5,1,0,,,,,,,,,,,,,
259,5,1,0,,,,,,,,,,,,,
260,20,0,0,,,,,,,,,,,,,
260,20,1,0,,,,,,,,,,,,,
261,20,0,0,,,,,,,,,,,,,
261,20,1,0,,,,,,,,,,,,,
263,20,0,0,,,,,,,,,,,,,
263,20,1,0,,,,,,,,,,,,,
264,20,0,0,,,,,,,,,,,,,
264,20,1,0,,,,,,,,,,,,,
267,20,0,0,,,,,,,,,,,,,
267,20,1,0,,,,,,,,,,,,,
268,20,0,0,,,,,,,,,,,,,
268,20,1,0,,,,,,,,,,,,,
269,20,0,0,,,,,,,,,,,,,
269,20,1,0,,,,,,,,,,,,,
272,20,0,0,,,,,,,,,,,,,
272,20,1,0,,,,,,,,,,,,,
273,20,0,0,,,,,,,,,,,,,
273,20,1,0,,,,,,,,,,,,,
274,20,0,0,,,,,,,,,,,,,
274,20,1,0,,,,,,,,,,,,,
276,20,0,0,,,,,,,,,,,,,
276,20,1,0,,,,,,,,,,,,,
277,20,0,0,,,,,,,,,,,,,
277,20,1,0,,,,,,,,,,,,,
278,20,0,0,,,,,,,,,,,,,
278,20,1,0,,,,,,,,,,,,,
279,20,0,0,,,,,,,,,,,,,
279,20,1,0,,,,,,,,,,,,,
280,20,0,0,,,,,,,,,,,,,
280,20,1,0,,,,,,,,,,,,,
281,20,0,0,,,,,,,,,,,,,
281,20,1,0,,,,,,,,,,,,,
282,20,0,0,,,,,,,,,,,,,
282,20,1,0,,,,,,,,,,,,,
284,20,0,0,,,,,,,,,,,,,
284,20,1,0,,,,,,,,,,,,,
286,20,0,0,,,,,,,,,,,,,
286,20,1,0,,,,,,,,,,,,,
287,20,0,0,,,,,,,,,,,,,
287,20,1,0,,,,,,,,,,,,,
288,20,0,0,,,,,,,,,,,,,
288,20,1,0,,,,,,,,,,,,,
289,20,0,0,,,,,,,,,,,,,
289,20,1,0,,,,,,,,,,,,,
290,20,0,0,,,,,,,,,,,,,
290,20,1,0,,,,,,,,,,,,,
293,20,0,0,,,,,,,,,,,,,
293,20,1,0,,,,,,,,,,,,,
295,20,0,0,,,,,,,,,,,,,
295,20,1,0,,,,,,,,,,,,,
298,20,0,0,,,,,,,,,,,,,
298,20,1,0,,,,,,,,,,,,,
299,20,0,0,,,,,,,,,,,,,
299,20,1,0,,,,,,,,,,,,,
300,20,0,0,,,,,,,,,,,,,
300,20,1,0,,,,,,,,,,,,,
301,20,0,0,,,,,,,,,,,,,
301,20,1,0,,,,,,,,,,,,,
303,20,0,0,,,,,,,,,,,,,
303,20,1,0,,,,,,,,,,,,,
306,20,0,0,,,,,,,,,,,,,
306,20,1,0,,,,,,,,,,,,,
307,20,0,0,,,,,,,,,,,,,
307,20,1,0,,,,,,,,,,,,,
309,20,0,0,,,,,,,,,,,,,
309,20,1,0,,,,,,,,,,,,,
311,20,0,0,,,,,,,,,,,,,
311,20,1,0,,,,,,,,,,,,,
313,20,0,0,,,,,,,,,,,,,
313,20,1,0,,,,,,,,,,,,,
314,20,0,0,,,,,,,,,,,,,
314,20,1,0,,,,,,,,,,,,,
316,20,0,0,,,,,,,,,,,,,
316,20,1,0,,,,,,,,,,,,,
317,20,0,0,,,,,,,,,,,,,
317,20,1,0,,,,,,,,,,,,,
319,20,0,0,,,,,,,,,,,,,
319,20,1,0,,,,,,,,,,,,,
340,20,0,0,,,,,,,,,,,,,
340,20,1,0,,,,,,,,,,,,,
341,20,0,0,,,,,,,,,,,,,
341,20,1,0,,,,,,,,,,,,,
342,20,0,0,,,,,,,,,,,,,
342,20,1,0,,,,,,,,,,,,,
345,20,0,0,,,,,,,,,,,,,
345,20,1,0,,,,,,,,,,,,,
346,20,0,0,,,,,,,,,,,,,
346,20,1,0,,,,,,,,,,,,,
347,20,0,0,,,,,,,,,,,,,
347,20,1,0,,,,,,,,,,,,,
351,20,0,0,,,,,,,,,,,,,
351,20,1,0,,,,,,,,,,,,,
352,20,0,0,,,,,,,,,,,,,
352,20,1,0,,,,,,,,,,,,,
354,20,0,0,,,,,,,,,,,,,
354,20,1,0,,,,,,,,,,,,,
358,20,0,0,,,,,,,,,,,,,
358,20,1,0,,,,,,,,,,,,,
360,52,3,0,,,,,,,,,,,,,
360,52,1,0,,,,,,,,,,,,,
360,52,4,0,,,,,,,,,,,,,
361,52,3,0,,,,,,,,,,,,,
361,52,1,0,,,,,,,,,,,,,
361,52,4,0,,,,,,,,,,,,,
362,52,3,0,,,,,,,,,,,,,
362,52,1,0,,,,,,,,,,,,,
362,52,4,0,,,,,,,,,,,,,
363,52,3,0,,,,,,,,,,,,,
363,52,1,0,,,,,,,,,,,,,
363,52,4,0,,,,,,,,,,,,,
365,52,3,0,,,,,,,,,,,,,
365,52,1,0,,,,,,,,,,,,,
365,52,4,0,,,,,,,,,,,,,
366,52,3,0,,,,,,,,,,,,,
366,52,1,0,,,,,,,,,,,,,
366,52,4,0,,,,,,,,,,,,,
369,52,3,0,,,,,,,,,,,,,
369,52,1,0,,,,,,,,,,,,,
369,52,4,0,,,,,,,,,,,,,
373,52,3,0,,,,,,,,,,,,,
373,52,1,0,,,,,,,,,,,,,
373,52,4,0,,,,,,,,,,,,,
377,52,3,0,,,,,,,,,,,,,
377,52,1,0,,,,,,,,,,,,,
377,52,4,0,,,,,,,,,,,,,
378,52,3,0,, ,,,,,,,,,,,
378,52,1,0,,,,,,,,,,,,,
378,52,4,0,,,,,,,,,,,,,
379,52,3,0,,,,,,,,,,,,,
379,52,1,0,,,,,,,,,,,,,
379,52,4,0,,,,,,,,,,,,,
380,6,0,0,,,,,,,,,,,,,
382,6,0,0,,,,,,,,,,,,,
385,6,0,0,,,,,,,,,,,,,
388,6,0,0,,,,,,,,,,,,,
389,6,0,0,,,,,,,,,,,,,
390,6,0,0,,,,,,,,,,,,,
391,6,0,0,,,,,,,,,,,,,
392,6,0,0,,,,,,,,,,,,,
393,6,0,0,,,,,,,,,,,,,
394,6,0,0,,,,,,,,,,,,,
395,6,0,0,,,,,,,,,,,,,
396,6,0,0,,,,,,,,,,,,,
397,6,0,0,,,,,,,,,,,,,
398,6,0,0,,,,,,,,,,,,,
399,6,0,0,,,,,,,,,,,,,
400,21,2,0,,,,,,,,,,,,,
401,21,2,0,,,,,,,,,,,,,
403,21,2,0,,,,,,,,,,,,,
404,21,2,0,,,,,,,,,,,,,
405,21,2,0,,,,,,,,,,,,,
406,21,2,0,,,,,,,,,,,,,
407,21,2,0,,,,,,,,,,,,,
408,21,2,0,,,,,,,,,,,,,
409,21,2,0,,,,,,,,,,,,,
410,21,2,0,,,,,,,,,,,,,
411,21,2,0,,,,,,,,,,,,,
413,21,2,0,,,,,,,,,,,,,
414,21,2,0,,,,,,,,,,,,,
416,21,2,0,,,,,,,,,,,,,
417,21,2,0,,,,,,,,,,,,,
419,21,2,0,,,,,,,,,,,,,
421,21,0,0,,,,,,,,,,,,,
423,21,0,0,,,,,,,,,,,,,
424,21,0,0,,,,,,,,,,,,,
425,21,0,0,,,,,,,,,,,,,
426,21,0,0,,,,,,,,,,,,,
427,21,0,0,,,,,,,,,,,,,
428,21,0,0,,,,,,,,,,,,,
429,21,0,0,,,,,,,,,,,,,
430,21,0,0,,,,,,,,,,,,,
431,21,0,0,,,,,,,,,,,,,
432,21,0,0,,,,,,,,,,,,,
437,21,0,0,,,,,,,,,,,,,
438,21,0,0,,,,,,,,,,,,,
439,21,0,0,,,,,,,,,,,,,
440,21,0,0,,,,,,,,,,,,,
443,21,0,0,,,,,,,,,,,,,
445,21,0,0,,,,,,,,,,,,,
446,21,0,0,,,,,,,,,,,,,
447,21,0,0,,,,,,,,,,,,,
448,21,0,0,,,,,,,,,,,,,
449,21,0,0,,,,,,,,,,,,,
451,21,0,0,,,,,,,,,,,,,
453,21,0,0,,,,,,,,,,,,,
455,21,0,0,,,,,,,,,,,,,
456,21,0,0,,,,,,,,,,,,,
458,21,0,0,,,,,,,,,,,,,
460,21,0,0,,,,,,,,,,,,,
461,21,0,0,,,,,,,,,,,,,
462,21,0,0,,,,,,,,,,,,,
463,21,0,0,,,,,,,,,,,,,
464,21,0,0,,,,,,,,,,,,,
465,21,0,0,,,,,,,,,,,,,
466,21,0,0,,,,,,,,,,,,,
467,21,0,0,,,,,,,,,,,,,
468,21,0,0,,,,,,,,,,,,,
470,21,0,0,,,,,,,,,,,,,
471,21,0,0,,,,,,,,,,,,,
473,21,0,0,,,,,,,,,,,,,
474,21,0,0,,,,,,,,,,,,,
476,21,0,0,,,,,,,,,,,,,
477,21,0,0,,,,,,,,,,,,,
478,21,0,0,,,,,,,,,,,,,
485,21,2,0,,,,,,,,,,,,,
487,21,2,0,,,,,,,,,,,,,
488,21,2,0,,,,,,,,,,,,,
489,21,2,0,,,,,,,,,,,,,
496,21,2,0,,,,,,,,,,,,,
497,21,2,0,,,,,,,,,,,,,
